title,genre,subgenre,vocal_gender,mood,target_bpm,energy_score,activity_fit,hook_timing,style_influence,weirdness,minimum_duration_seconds,vocals_required,similarity_cluster,suno_prompt,status
Silent Halo Reborn,Mainstream Melodic Rap,Luxury Melodic Rap,male,confident,73,4,gym warmup,0:06,66,53,195,TRUE,mains-c01,"Luxury Melodic Rap, confident male lead vocal, harmonized melodic hook; 73 BPM; production: muted piano loop, crisp trap hats, bell-tone melody; theme: ambition vs loneliness; hook at 0:06 (melodic ad-lib hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Golden Crown,Mainstream Melodic Rap,Trap Soul,male,lonely,78,4,city skyline cruise,0:12,71,43,137,TRUE,mains-c01,"Trap Soul, lonely male lead vocal, whispery verses, belted hook; 78 BPM; production: atmospheric synths, warm sub bass, muted piano loop; theme: victory laps; hook at 0:12 (name-drop hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Reckless Roses,Mainstream Melodic Rap,Atmospheric Rap,female,vulnerable,90,6,highway run,0:14,80,49,202,TRUE,mains-c01,"Atmospheric Rap, vulnerable female lead vocal, harmonized melodic hook; 90 BPM; production: filtered vocal chops, lush reverb tails, cinematic strings; theme: fame fatigue; hook at 0:14 (two-word chant hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Late Throne Reborn,Mainstream Melodic Rap,Atmospheric Rap,male,hopeful,91,7,studio session,0:12,80,51,164,TRUE,mains-c01,"Atmospheric Rap, hopeful male lead vocal, double-tracked falsetto chorus; 91 BPM; production: crisp trap hats, glossy 808s, muted piano loop; theme: regret at 3am; hook at 0:12 (post-chorus 'oh-oh' tag); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Diamond Roses,Mainstream Melodic Rap,R&B-Tinged Rap,male,nostalgic,89,5,highway run,0:10,80,43,97,TRUE,mains-c01,"R&B-Tinged Rap, nostalgic male lead vocal, raspy melodic flow; 89 BPM; production: stadium drums, crisp trap hats, lush reverb tails; theme: late-night reflection; hook at 0:10 (name-drop hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Crystal Halo,Mainstream Melodic Rap,Atmospheric Rap,male,ambitious,98,4,sunset cruise,0:14,72,52,109,TRUE,mains-c01,"Atmospheric Rap, ambitious male lead vocal, whispery verses, belted hook; 98 BPM; production: cinematic strings, atmospheric synths, crisp trap hats; theme: regret at 3am; hook at 0:14 (post-chorus 'oh-oh' tag); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Skyline Halo,Mainstream Melodic Rap,Atmospheric Rap,female,ambitious,86,7,city skyline cruise,0:06,66,44,148,TRUE,mains-c01,"Atmospheric Rap, ambitious female lead vocal, double-tracked falsetto chorus; 86 BPM; production: atmospheric synths, crisp trap hats, warm sub bass; theme: growing up too fast; hook at 0:06 (post-chorus 'oh-oh' tag); modern emotional retention design; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Faded Promise,Mainstream Melodic Rap,Atmospheric Rap,male,introspective,74,4,gym warmup,0:12,68,44,136,TRUE,mains-c01,"Atmospheric Rap, introspective male lead vocal, soft autotune crooning; 74 BPM; production: atmospheric synths, muted piano loop, lush reverb tails; theme: victory laps; hook at 0:12 (single-line repeatable hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Diamond Reverie,Mainstream Melodic Rap,Melodic Hip-Hop,male,confident,93,6,highway run,0:06,68,44,185,TRUE,mains-c01,"Melodic Hip-Hop, confident male lead vocal, raspy melodic flow; 93 BPM; production: muted piano loop, filtered vocal chops, bell-tone melody; theme: self-belief after losses; hook at 0:06 (two-word chant hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Heavy Mirror,Mainstream Melodic Rap,Luxury Melodic Rap,male,lonely,93,5,studio session,0:14,70,51,135,TRUE,mains-c01,"Luxury Melodic Rap, lonely male lead vocal, soft autotune crooning; 93 BPM; production: glossy 808s, warm sub bass, cinematic strings; theme: the price of winning; hook at 0:14 (melodic ad-lib hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream mainstream melodic rap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
